Sample_ID,PetroNo,Sample_type,Date_sampled,WaterYear,NAT_LOC,Site_name,Watershed,River,Reach,Lat_dd,Long_dd,Collector,Source,Paired_with,Sr8786,SD,Notes
07SB13,,Water,39206,2007,AME,American River at N. 10th St,American River,American River,Lower,38.601354,-121.484113,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7095947,0.00000993,
E25,,Water,41072,2012,AME,American River at Discovery Park,American River,American River,Lower,38.603142,-121.489767,Peter Weber,Phillis et al. 2018 Biological Conservation,AR2,0.709855,0.000068,
E5,,Water,41011,2012,AME,American River at Discovery Park,American River,American River,Lower,38.603142,-121.489767,Peter Weber,Phillis et al. 2018 Biological Conservation,AR1,0.709916,0.0000137,
O18-015,,Water,42225,2015,AME,American River @ Richards,American River,American River,Lower,38.596389,-121.478333,Rachel Johnson,Johnson & Sturrock unpub.,oxygen,0.709844,0.0000252,
ISO_060617_13,,Water,42892,2017,AME,"American R, Riverdale Resort",American River,American River,Lower,38.596919,-121.476288,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.70916,0.0000125,
ISO_052318_2,,Water,43243,2018,AME,American River,American River,American River,Lower,38.596141,-121.47553,Keiko Mertz,"Sturrock & Johnson, unpub.",,0.709518,0.0000118,
PKW-SF,,Water,37500,2002,,American River South Fork,American River,American River,source,38.915618,-121.040297,Peter Weber,"Weber, unpub.",,0.708731,0.0000127,
PKW-NF,,Water,37500,2002,,American River North Fork,American River,American River,source,38.772841,-121.04405,Peter Weber,"Weber, unpub.",,0.711894,0.0000183,
IEP041,,Water,35754,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7081354,0.0000127,
IEP202,,Water,35974,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.7082681,0.000035,
IEP219,,Water,36005,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.7090245,0.000011,
IEP253,,Water,36066,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.70933,0.00002,
IEP040,,Water,35754,1998,AME,Nimbus Hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7096465,0.0000156,
IEP059,,Water,35775,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7096585,0.00000994,
IEP003,,Water,35725,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7097111,0.0000128,
IEP004,,Water,35725,1998,AME,Nimbus Hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7097186,0.000017,
IEP150,,Water,35915,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7097453,0.00000852,
IEP054,,Water,35775,1998,AME,Nimbus Hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7097594,0.00000994,
IEP081,,Water,35823,1998,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7100386,0.0000128,
IEP127,,Water,35879,1998,AME,Nimbus Hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7101285,0.0000114,
IEP085,,Water,35823,1998,AME,Nimbus Hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7101811,0.00000994,
IEP153,,Water,35915,1998,AME,Nimbus Hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Ingram & Weber 1999,,0.7103982,0.0000128,
IEP330,,Water,36172,1999,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.7093401,0.000009,
IEP432,,Water,36389,1999,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.70951,0.00002,
IEP390,,Water,36307,1999,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.7096864,0.00001,
IEP375,,Water,36271,1999,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,"Weber, unpublished",,0.7102745,0.000009,
PKW-B,,Water,37500,2002,AME,"Lake Natoma, below dam",American River,American River,Upper,38.636418,-121.221405,Peter Weber,"Weber, unpub.",,0.709732,0.0000106,
PKW-A,,Water,37500,2002,AME,"Lake Natoma, above dam",American River,American River,Upper,38.634812,-121.217398,Peter Weber,"Weber, unpub.",,0.709928,0.0000116,
07SB04,,Water,39240,2007,AME,American River by hatchery,American River,American River,Upper,38.637,-121.221,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7094393,0.0000795,
ISO_060617_14,,Water,42892,2017,AME,"American R, Nimbus Hatchery",American River,American River,Upper,38.63503,-121.226572,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.70917,0.0000103,"Collected from mainstem river next to hatchery, not hatchery itself"
ISO_052318_1,,Water,43243,2018,,Cordova Creek,American River,Cordova Creek,trib,38.599703,-121.315894,Keiko Mertz,"Sturrock & Johnson, unpub.",,0.706473,0.0000111,
D07_COS_011614,,Water,41655,2014,COS,Cosumnes River,Cosumnes River,Cosumnes River,Lower,38.263554,-121.439941,Anna Sturrock,"Sturrock & Johnson, unpub.",,0.706838,0.0000106,
07SB02,,Water,39206,2007,,Sherman's Island at Eddo's,Delta,Delta,Delta,38.048138,-121.699941,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7063789,0.000041,
07SB07,,Water,39240,2007,,Sherman's Island at Eddo's,Delta,Delta,Delta,38.048138,-121.699941,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7066021,0.0000113,
07SB10,,Water,39206,2007,,Windy Cove at Brannen Island,Delta,Delta,Delta,38.111563,-121.699309,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7060555,0.00000847,
07SB11,,Water,39206,2007,,Chipps Island,Delta,Delta,Delta,38.041836,-121.887094,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7075187,0.0000127,
07SB16,,Water,39240,2007,,Chipps Island,Delta,Delta,Delta,38.041836,-121.887094,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7081887,0.0000085,
07SB18,,Water,39240,2007,,Windy Cove at Brannen Island,Delta,Delta,Delta,38.111563,-121.699309,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7062362,0.0000127,
E11,,Water,41011,2012,,Decker Island,Delta,Delta,Delta,38.083515,-121.730623,Peter Weber,Phillis et al. 2018 Biological Conservation,DI2,0.706365,0.00000766,
E12,,Water,41011,2012,,Bethel Island across from Frank’s,Delta,Delta,Delta,38.038813,-121.62803,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.706588,0.00000744,
E28,,Water,41072,2012,,Near Ryer Island Ferry (Rio Vista Ferry) on east side of channel,Delta,Delta,Delta,38.189393,-121.655198,Peter Weber,Phillis et al. 2018 Biological Conservation,RV3,0.706317,0.00000966,
E29,,Water,41072,2012,,Oxbow Marina,Delta,Delta,Delta,38.149915,-121.58941,Peter Weber,Phillis et al. 2018 Biological Conservation,OM3,0.706281,0.00000688,
E31,,Water,41072,2012,,Decker Island,Delta,Delta,Delta,38.083515,-121.730623,Peter Weber,Phillis et al. 2018 Biological Conservation,DI5,0.707048,0.00000988,
E32,,Water,41072,2012,,Bethel Island across from Frank’s,Delta,Delta,Delta,38.038813,-121.62803,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.706864,0.0000109,
E8,,Water,41011,2012,,Near Ryer Island Ferry (Rio Vista Ferry) on east side of channel,Delta,Delta,Delta,38.189393,-121.655198,Peter Weber,Phillis et al. 2018 Biological Conservation,RV2,0.70611,0.00000696,
E9,,Water,41011,2012,,Oxbow Marina,Delta,Delta,Delta,38.149915,-121.58941,Peter Weber,Phillis et al. 2018 Biological Conservation,OM1,0.705933,0.00000806,
D01_DECK_011514,,Water,41654,2014,,Decker Island,Delta,Delta,Delta,38.080673,-121.725235,Anna Sturrock,Sturrock et al (in review),clams,0.708055,0.000013,
D02_RIOV_011514,,Water,41654,2014,,Opp. Rio Vista (Cliff House),Delta,Delta,Delta,38.170437,-121.669533,Anna Sturrock,Sturrock et al (in review),clams,0.706058,0.0000154,
D03_BRAN_011514,,Water,41654,2014,,Brannan Island,Delta,Delta,Delta,38.097778,-121.570229,Anna Sturrock,Sturrock et al (in review),clams,0.706569,0.00000874,
D04_OX_011514,,Water,41654,2014,,Oxbow Marina (Tyler Island Bridge),Delta,Delta,Delta,38.160862,-121.585457,Anna Sturrock,Sturrock et al (in review),clams,0.705657,0.000011,
IEP005,,Water,35727,1998,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.706183,,
IEP038,,Water,35754,1998,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.707082,,
IEP045,,Water,35781,1998,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.706271,,
IEP069,,Water,35810,1998,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.706295,,
IEP147,,Water,35910,1998,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.706451,,
IEP315,,Water,36165,1999,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.70608,0.00006,
IEP346,,Water,36234,1999,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.70603,0.00008,
IEP383,,Water,36306,1999,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.70639,0.00003,
IEP409,,Water,36354,1999,,Decker Island,Delta,Delta,Delta,38.083649,-121.711424,Peter Weber,"Weber, unpublished",,0.7067,0.00002,
ISO_071117_01,,Water,42927,2017,,Chipps Island,Delta,Delta,Delta,38.05181,-121.9308,"Fred Feyrer, USGS",Sturrock et al (in review),oxygen,0.70741,0.0000118,"salinity: 0.26 - 0.18, Spcond: 545.4, temp: 22.69, Cond: 536"
D10_MID_011614,,Water,41655,2014,,Middle river,Delta,Middle River,Delta,37.89344,-121.48851,Anna Sturrock,Sturrock et al (in review),clams,0.706957,0.0000144,
D11_OLD_011614,,Water,41655,2014,,Old River (Sam's Market),Delta,Old River,Delta,37.804714,-121.449608,Anna Sturrock,Sturrock et al (in review),clams,0.706992,0.00000688,
D09_SJR_STOCK_011614,,Water,41655,2014,,San Joaquin R @ Stockton (Buckley Cove Park),San Joaquin River,San Joaquin River,Delta,37.973804,-121.375664,Anna Sturrock,Sturrock et al (in review),clams,0.707076,0.0000114,
IEP006,,Water,35727,1998,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,"Weber, unpublished",,0.70623,,
IEP039,,Water,35754,1998,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,"Weber, unpublished",,0.706399,,
IEP046,,Water,35781,1998,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,"Weber, unpublished",,0.706566,,
IEP072,,Water,35810,1998,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.707108,,
IEP141,,Water,35910,1998,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.707405,,
IEP316,,Water,36165,1999,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.70703,0.00002,
IEP347,,Water,36234,1999,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.70726,0.00005,
IEP384,,Water,36306,1999,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.70714,0.00002,
IEP408,,Water,36354,1999,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.70707,0.00001,
IEP505,,Water,37052,2001,SJR,"San Joaquin R, Mossdale Crossing",San Joaquin River,San Joaquin River,Mid,37.786416,-121.306787,Peter Weber,Sturrock et al 2015 PLOS ONE (collected by P. Weber),,0.707072263,0.0000158,
IEP514,,Water,36985,2001,,San Joaquin at Vernalis,San Joaquin River,San Joaquin River,Delta,37.641616,-121.229455,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.70711,0.00008,
IEP515,,Water,37002,2001,,San Joaquin River at Black Slough,San Joaquin River,San Joaquin River,Delta,37.994972,-121.420152,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7071,0.00003,
IEP516,,Water,37002,2001,,San Joaquin River at Twitchell Island,San Joaquin River,San Joaquin River,Delta,38.096163,-121.650964,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.70623,0.00002,
SJR_DOSREIS_020813,,Water,41313,2013,,"San Joaquin R, Dos Reis Park Jetty",San Joaquin River,San Joaquin River,Delta,37.82723,-121.31023,Anna Sturrock,Sturrock et al (in review),,0.70660815,0.00003891,
ISO_060617_11,,Water,42892,2017,,Auburn Ravine,Feather River,Auburn Ravine,trib,38.857667,-121.488461,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.706289,0.0000117,Check time
ISO_081616_03,,Water,42598,2016,,Auburn Ravine,Feather River,Auburn Ravine,trib,38.85282,-121.50668,"SR, MI (Jason Kindopp, DWR)","Sturrock & Johnson, unpub.",,0.705801,0.0000114,"Water Sample #3- stood in shallow creek to collect sample, no clams present."
IEP605,,Water,37330,2002,,Bear River,Feather River,Bear River,Mid,39.000427,-121.40512,Peter Weber,"Weber, unpublished",,0.70598,0.00003,Changed from Bear Creek
ISO_060617_09,,Water,42892,2017,,Bear River,Feather River,Bear River,trib,38.968022,-121.544038,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.706377,0.0000125,
ISO_081616_04,,Water,42598,2016,,Bear River,Feather River,Bear River,trib,38.97324,-121.54242,"SR, MI (Jason Kindopp, DWR)","Sturrock & Johnson, unpub.",,0.706526,0.0000134,"Water Sample #4- collected from bank east of Hwy 70, no clams present."
ISO_060617_10,,Water,42892,2017,,Coon Creek,Feather River,Coon Creek,trib,38.907684,-121.506185,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.705702,0.0000135,
ISO_081616_02,,Water,42598,2016,,Coon Creek,Feather River,Coon Creek,trib,38.79073,-121.59779,"SR, MI (Jason Kindopp, DWR)","Sturrock & Johnson, unpub.",,0.705736,0.0000132,"Water Sample #2- Sampled from bank above pumps, No clams present.  Can't really see if this enters the Feather...? (No, it feeds out into a slough that is backed up by Sac River water. The Sutter Reclamation worker who lives at sample sight told us that the pump gates are closed during high water months, winter and spring, to prevent Sac River water from backing up into Coon Creek which would prevent juvenile salmon from venturing up there.) Would a Yuba or Feather-origin fish need to go up from the Sac @ Joe's Landing to rear in Coon Creek? Yes"
07SB03,,Water,39240,2007,FEA,Feather River at 99 Bridge,Feather River,Feather River,Lower,38.900499,-121.587644,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7063854,0.000148341,
07SB21,,Water,39206,2007,FEA,Feather River at 99 Bridge,Feather River,Feather River,Lower,38.900499,-121.587644,Peter Weber,Phillis et al. 2018 Biological Conservation,,0.7067234,0.0000127,
E23,,Water,41072,2012,FEA,Feather River near Sac,Feather River,Feather River,Lower,38.874447,-121.614702,Peter Weber,Phillis et al. 2018 Biological Conservation,clams were lost,0.706626,0.00000918,
